,EX_A_sp1,EX_B_sp1,EX_A_sp2,EX_B_sp2
283,-0.9764213,-0.3391195,-0.5740129,-0.8567916
284,-0.9934978,-0.33628118,-0.5805149,-0.8274755
285,-0.98583525,-0.32849595,-0.58085537,-0.8456599
286,-0.989432,-0.358662,-0.59575635,-0.8426123
287,-0.9874347,-0.33981434,-0.5817305,-0.83518904
288,-0.9858311,-0.34968394,-0.58079505,-0.84040636
289,-1.0036561,-0.36297253,-0.5891618,-0.86364436
290,-0.9797306,-0.33723184,-0.590853,-0.8517091
291,-0.9887902,-0.35878098,-0.5834165,-0.83478695
292,-0.9810588,-0.33441055,-0.5824252,-0.8416251
293,-0.97577584,-0.34072188,-0.5852682,-0.8428217
294,-0.9752971,-0.34256354,-0.587824,-0.8619377
295,-0.9828672,-0.33836183,-0.5798752,-0.8479472
296,-0.96938264,-0.34688616,-0.5865112,-0.8425584
297,-0.9664821,-0.35055858,-0.6019793,-0.8491239
298,-0.971851,-0.36517137,-0.58759254,-0.8439473
299,-0.9811473,-0.33481517,-0.5762598,-0.84919983
300,-0.99068326,-0.34644067,-0.59870917,-0.8559672
301,-0.9776099,-0.33165637,-0.57916194,-0.8442852
302,-0.9709775,-0.33223757,-0.58745,-0.8448286
303,-0.98332065,-0.34574682,-0.5936245,-0.84913516
304,-0.9966896,-0.35121635,-0.58587426,-0.84225196
305,-0.97494876,-0.3549327,-0.5848114,-0.85003257
306,-0.97217363,-0.35109168,-0.5906614,-0.8305495
307,-0.9692528,-0.3646931,-0.57824874,-0.8312995
308,-0.97200316,-0.3554282,-0.5864746,-0.8496787
309,-0.97488636,-0.35355,-0.58614534,-0.85671175
310,-0.98962414,-0.3593056,-0.5900256,-0.8505575
311,-0.9761107,-0.35433272,-0.59189695,-0.84441775
312,-0.9699756,-0.35733646,-0.5794932,-0.8383066
313,-0.9795771,-0.36223355,-0.57980895,-0.8210047
314,-0.98650587,-0.36294314,-0.59080523,-0.8433568
315,-0.9695281,-0.34780622,-0.594876,-0.83703715
316,-0.98638105,-0.34693882,-0.5767584,-0.84179634
317,-0.9775722,-0.34776828,-0.560268,-0.83975506
318,-0.97389627,-0.35611343,-0.5763828,-0.8430391
