,EX_A_sp1,EX_B_sp1,EX_A_sp2,EX_B_sp2
212,-1.3675793,0.59119487,0.45451748,-1.3962824
213,-1.3796031,0.56018984,0.44194296,-1.3863368
214,-1.3947194,0.58395535,0.46454546,-1.3803803
215,-1.3653125,0.58717185,0.45670107,-1.3841243
216,-1.4022089,0.5621343,0.46577108,-1.3774523
217,-1.4036509,0.5785322,0.47526965,-1.3866678
218,-1.3837326,0.5776538,0.45990378,-1.3849654
219,-1.3668482,0.5747788,0.45243332,-1.3787965
220,-1.4071264,0.5692339,0.46220556,-1.3834101
221,-1.3701491,0.57023734,0.46462187,-1.3797503
222,-1.3728932,0.5824134,0.47339797,-1.3712614
223,-1.39489,0.5641615,0.44900426,-1.3649256
224,-1.4074085,0.57289433,0.47007656,-1.3746719
225,-1.3830147,0.5666112,0.47750077,-1.3990717
226,-1.3949536,0.5675174,0.44767168,-1.3902211
227,-1.3822308,0.58166844,0.45551074,-1.3780215
228,-1.367742,0.577059,0.46487147,-1.3667599
229,-1.3901522,0.57539123,0.47370628,-1.3832797
230,-1.3844472,0.58458614,0.46484458,-1.3872142
231,-1.3864682,0.5710732,0.45762601,-1.376475
232,-1.3768547,0.58501697,0.4656067,-1.3901215
233,-1.3942652,0.568947,0.47116998,-1.3675348
234,-1.3713002,0.5851047,0.4667179,-1.3798321
235,-1.3841933,0.5635806,0.4826563,-1.3581687
236,-1.4002827,0.5736769,0.46160918,-1.3973721
237,-1.365431,0.5804083,0.4554421,-1.3741729
238,-1.39567,0.5646555,0.4733622,-1.3793081
239,-1.3894213,0.55169773,0.46803564,-1.3814737
240,-1.3836191,0.60052204,0.46348765,-1.363574
241,-1.3954822,0.58787894,0.46271256,-1.3590354
242,-1.4011395,0.5687825,0.47202012,-1.3712246
243,-1.3848228,0.56898856,0.47330478,-1.3777244
244,-1.3815961,0.57438624,0.4720957,-1.3800123
245,-1.3764149,0.57399243,0.46541098,-1.3746848
246,-1.3754818,0.5652618,0.47278595,-1.3825995
247,-1.3830997,0.5801013,0.45858145,-1.3521823
248,-1.4013404,0.5604768,0.45817563,-1.3781275
249,-1.3739834,0.5911008,0.4434502,-1.3839368
250,-1.4108038,0.5751986,0.4601188,-1.3743403
251,-1.3863294,0.58103436,0.46947882,-1.3813413
252,-1.3947238,0.571276,0.46895412,-1.3910043
253,-1.3877866,0.5747433,0.44988304,-1.3863535
254,-1.4008358,0.56046546,0.44705212,-1.3776387
255,-1.3966291,0.5802365,0.47239205,-1.3740882
256,-1.3844053,0.58605576,0.4404142,-1.3844091
257,-1.3750004,0.57266223,0.44465128,-1.3704971
258,-1.390804,0.5539179,0.45674354,-1.3823203
259,-1.3820506,0.56431496,0.4547122,-1.397259
260,-1.3609107,0.58397686,0.4618986,-1.3637658
261,-1.3685052,0.57635754,0.45046574,-1.3870506
262,-1.3835096,0.5746824,0.4666844,-1.383831
263,-1.3784441,0.57668614,0.46645525,-1.3930676
264,-1.3777875,0.56503147,0.4636096,-1.3759221
265,-1.3771839,0.5605491,0.47070172,-1.3744191
266,-1.3789471,0.5709982,0.4691064,-1.3801951
267,-1.395746,0.55833733,0.4623392,-1.3857715
268,-1.3647767,0.5444728,0.4647722,-1.386121
269,-1.3718456,0.56266546,0.47767472,-1.3789551
270,-1.4000334,0.5738609,0.457731,-1.3725924
271,-1.4016709,0.57286125,0.45341623,-1.3859097
272,-1.3675721,0.5820452,0.4589984,-1.3757267
273,-1.4060769,0.578602,0.45512,-1.3787074
274,-1.3691827,0.5731539,0.47438374,-1.366499
275,-1.400981,0.5926378,0.46239454,-1.3766718
276,-1.3952701,0.55808663,0.46695948,-1.3649445
277,-1.3705337,0.5821934,0.46689114,-1.3583078
278,-1.3600096,0.5827118,0.4614902,-1.383694
279,-1.3840604,0.57447946,0.45796096,-1.3877323
280,-1.3863066,0.5746421,0.43971953,-1.376912
281,-1.385762,0.5695644,0.46276522,-1.3850555
282,-1.3738062,0.57940537,0.43823215,-1.3708383
283,-1.4025848,0.5972274,0.4654298,-1.3653817
284,-1.3708669,0.58189726,0.45986304,-1.3806663
285,-1.378231,0.5734425,0.46656895,-1.3794507
286,-1.3645701,0.59385496,0.4573966,-1.3846002
287,-1.3963069,0.57534724,0.47308156,-1.4017248
288,-1.3816409,0.57883805,0.43667728,-1.3691877
289,-1.3672503,0.57176924,0.4638508,-1.3764446
290,-1.3700004,0.5630373,0.46332207,-1.372427
291,-1.3904736,0.58025485,0.46118307,-1.3579857
292,-1.379874,0.5723388,0.45412958,-1.380572
293,-1.3802918,0.5759979,0.4519732,-1.3788109
294,-1.3912182,0.5792965,0.47215474,-1.3727258
295,-1.3846142,0.58258694,0.46265954,-1.3997657
296,-1.387168,0.5705258,0.45880038,-1.3869709
297,-1.395946,0.580972,0.4537015,-1.3716025
298,-1.3893183,0.57025295,0.46295106,-1.399412
299,-1.382911,0.58556753,0.46957538,-1.3738704
300,-1.391176,0.5877629,0.46055228,-1.3849626
301,-1.3818613,0.5857436,0.46689305,-1.3626351
302,-1.3706322,0.5658337,0.4774475,-1.3809662
303,-1.3825173,0.5750175,0.45303518,-1.3693326
304,-1.3969011,0.5794459,0.4689605,-1.3758428
305,-1.3850591,0.5648617,0.45821664,-1.3728741
306,-1.3715603,0.57177156,0.4470169,-1.3892672
307,-1.3860015,0.56220514,0.47394553,-1.383931
308,-1.3666788,0.5670838,0.46336007,-1.377406
309,-1.3788835,0.59649837,0.4586802,-1.363726
310,-1.375326,0.5917706,0.4525201,-1.3778745
311,-1.3810056,0.57418656,0.47114024,-1.3861473
312,-1.3888038,0.57081,0.462628,-1.3788885
313,-1.3696291,0.59173167,0.478,-1.3787299
314,-1.3792962,0.58411974,0.45527738,-1.387108
315,-1.3896582,0.57897484,0.4650442,-1.3713855
316,-1.3863332,0.55938625,0.45809692,-1.3903204
317,-1.399272,0.58695626,0.4683802,-1.372675
318,-1.3990154,0.58677346,0.4639708,-1.3624513
319,-1.3823285,0.5835885,0.4495499,-1.3680402
320,-1.3958265,0.5810261,0.4638323,-1.3676084
321,-1.3855549,0.5609862,0.4543133,-1.3810397
322,-1.3971108,0.5765968,0.45498058,-1.3884068
323,-1.4004288,0.56604034,0.45270535,-1.3712
324,-1.3694743,0.5664915,0.46046355,-1.3832579
325,-1.362342,0.5849384,0.46179074,-1.383119
326,-1.3933965,0.5844093,0.44922733,-1.3848735
327,-1.3695132,0.5596213,0.44484556,-1.3884727
