,agent1,agent2,S,A,B,P
685,1.636831820168105,1.8315810987596917,0.07279771017925867,0.9355717099612636,0.978545610036984,70.79049023782368
686,1.636668136986088,1.8313979406498158,0.07279043040824074,0.9354781527902675,0.9784477554759803,70.78341118879989
687,1.6365044701723894,1.8312148008557507,0.07278315136519992,0.9353846049749884,0.9783499107004326,70.776332847681
688,1.6363408197253722,1.8310316793756651,0.0727758730500634,0.9352910665144909,0.9782520757093626,70.76925521439624
689,1.6361771856433995,1.8308485762077276,0.07276859546275839,0.9351975374078394,0.9781542505017916,70.7621782888748
690,1.636013567924835,1.8306654913501068,0.07276131860321211,0.9351040176540986,0.9780564350767414,70.75510207104591
691,1.6358499665680426,1.830482424800972,0.0727540424713518,0.9350105072523331,0.9779586294332338,70.74802656083881
692,1.6356863815713858,1.8302993765584918,0.07274676706710466,0.9349170062016079,0.9778608335702904,70.74095175818273
693,1.6355228129332287,1.8301163466208359,0.07273949239039795,0.9348235145009878,0.9777630474869334,70.73387766300691
694,1.6353592606519354,1.8299333349861737,0.07273221844115892,0.9347300321495376,0.9776652711821847,70.72680427524061
695,1.6351957247258702,1.829750341652675,0.0727249452193148,0.9346365591463227,0.9775675046550665,70.71973159481308
696,1.6350322051533976,1.8295673666185097,0.07271767272479288,0.934543095490408,0.977469747904601,70.7126596216536
697,1.6348687019328823,1.829384409881848,0.07271040095752039,0.934449641180859,0.9773720009298105,70.70558835569143
698,1.634705215062689,1.8292014714408598,0.07270312991742464,0.9343561962167409,0.9772742637297175,70.69851779685587
699,1.6345417445411827,1.8290185512937156,0.0726958596044329,0.9342627605971192,0.9771765363033446,70.69144794507618
700,1.6343782903667285,1.8288356494385862,0.07268859001847246,0.9341693343210595,0.9770788186497142,70.68437880028166
701,1.6342148525376918,1.8286527658736424,0.07268132115947061,0.9340759173876274,0.9769811107678493,70.67731036240164
702,1.634051431052438,1.828469900597055,0.07267405302735466,0.9339825097958886,0.9768834126567726,70.6702426313654
703,1.633888025909333,1.8282870536069953,0.07266678562205192,0.9338891115449091,0.9767857243155069,70.66317560710226
704,1.633724637106742,1.8281042249016346,0.07265951894348972,0.9337957226337545,0.9766880457430753,70.65610928954155
705,1.6335612646430313,1.8279214144791445,0.07265225299159538,0.9337023430614911,0.976590376938501,70.6490436786126
706,1.633397908516567,1.8277386223376966,0.07264498776629622,0.933608972827185,0.9764927179008072,70.64197877424473
707,1.6332345687257155,1.827563629027365,0.059408171313541196,1.0116480353494273,0.9763172631099954,70.62207405200844
708,1.633071245268843,1.8273808726644623,0.059402230496409844,1.0115468705458923,0.9762196313836844,70.61501184460325
709,1.6329079381443161,1.8271981345771957,0.0593962902733602,1.0114457158588377,0.976122009420546,70.60795034341878
710,1.6327446473505016,1.827015414763738,0.059390350644332866,1.0113445712872517,0.976024397219604,70.60088954838443
711,1.6325813728857665,1.8268327132222617,0.05938441160926843,1.011243436830123,0.975926794779882,70.59382945942959
712,1.632418114748478,1.8266500299509394,0.05937847316810751,1.01114231248644,0.975829202100404,70.58677007648365
713,1.6322548729370032,1.8264673649479444,0.0593725353207907,1.0110411982551915,0.975731619180194,70.579711399476
714,1.6320916474497096,1.8262847182114497,0.059366598067258615,1.010940094135366,0.975634046018276,70.57265342833605
715,1.6319284382849646,1.8261020897396285,0.05936066140745189,1.0108390001259524,0.9755364826136741,70.56559616299322
716,1.631765245441136,1.8259194795306546,0.05935472534131114,1.0107379162259398,0.9754389289654127,70.55853960337691
717,1.631602068916592,1.8257368875827016,0.059348789868777015,1.0106368424343173,0.9753413850725162,70.55148374941658
718,1.6314389087097003,1.8255543138939434,0.05934285498979014,1.010535778750074,0.975243850934009,70.54442860104163
719,1.6312757648188294,1.825371758462554,0.05933692070429116,1.010434725172199,0.9751463265489156,70.53737415818152
720,1.6311126372423475,1.8251892212867078,0.05933098701222073,1.0103336816996817,0.9750488119162608,70.5303204207657
721,1.6309495259786233,1.825006702364579,0.05932505391351951,1.0102326483315118,0.9749513070350692,70.52326738872362
722,1.6307864310260254,1.8248242016943426,0.05931912140812816,1.0101316250666788,0.9748538119043656,70.51621506198475
723,1.6306233523829228,1.824641719274173,0.059313189495987344,1.010030611904172,0.9747563265231751,70.50916344047856
