,agent1,Glc,P,Amylase,Starch
665,1.9586423717892134,0.4270969283045253,9.704980646626145,2.566346272283354e-16,10.0
666,1.9586227853654956,0.42709265733524326,9.704883596819679,2.566320608820631e-16,10.0
667,1.958603199137642,0.427088386408671,9.70478654798371,2.566294945614543e-16,10.0
668,1.9585836131056507,0.42708411552480796,9.70468950011823,2.566269282665087e-16,10.0
669,1.9585640272695195,0.4270798446836538,9.704592453223228,2.5662436199722603e-16,10.0
670,1.9585444416292468,0.427075573885208,9.704495407298696,2.5662179575360606e-16,10.0
671,1.9585248561848305,0.4270713031294702,9.704398362344623,2.566192295356485e-16,10.0
672,1.9585052709362687,0.42706703241644,9.704301318360999,2.5661666334335317e-16,10.0
673,1.9584856858835593,0.4270627617461169,9.704204275347815,2.566140971767197e-16,10.0
674,1.9584661010267004,0.42705849111850047,9.704107233305061,2.5661153103574795e-16,10.0
675,1.9584465163656901,0.4270542205335903,9.704010192232728,2.566089649204376e-16,10.0
676,1.9584269319005265,0.427049949991386,9.703913152130806,2.566063988307884e-16,10.0
677,1.9584073476312076,0.42704567949188715,9.703816112999284,2.5660383276680007e-16,10.0
678,1.9583877635577314,0.4270414090350933,9.703719074838155,2.5660126672847243e-16,10.0
679,1.9583681796800958,0.427037138621004,9.703622037647406,2.5659870071580514e-16,10.0
680,1.958348595998299,0.42703286824961884,9.70352500142703,2.56596134728798e-16,10.0
681,1.958329012512339,0.4270285979209374,9.703427966177015,2.565935687674507e-16,10.0
682,1.9583094292222138,0.42702432763495923,9.703330931897353,2.56591002831763e-16,10.0
683,1.9582898461279217,0.4270200573916839,9.703233898588035,2.565884369217347e-16,10.0
684,1.9582702632294604,0.42701578719111105,9.70313686624905,2.565858710373655e-16,10.0
685,1.958250680526828,0.4270115170332402,9.703039834880387,2.565833051786551e-16,10.0
686,1.9582310980200228,0.4270072469180709,9.702942804482038,2.5658073934560333e-16,10.0
687,1.9582115157090427,0.4270029768456028,9.702845775053994,2.565781735382099e-16,10.0
688,1.9581919335938855,0.4269987068158354,9.702748746596244,2.565756077564745e-16,10.0
689,1.9581723516745495,0.4269944368287683,9.702651719108777,2.5657304200039693e-16,10.0
690,1.9581527699510328,0.42699016688440106,9.702554692591587,2.5657047626997693e-16,10.0
691,1.9581331884233333,0.42698589698273326,9.70245766704466,2.5656791056521423e-16,10.0
692,1.958113607091449,0.4269816271237645,9.70236064246799,2.565653448861086e-16,10.0
693,1.9580940259553783,0.4269773573074943,9.702263618861565,2.5656277923265973e-16,10.0
694,1.9580744450151188,0.42697308753392227,9.702166596225377,2.565602136048674e-16,10.0
695,1.9580548642706688,0.42696881780304796,9.702069574559415,2.565576480027314e-16,10.0
696,1.958035283722026,0.426964548114871,9.70197255386367,2.565550824262514e-16,10.0
697,1.958015703369189,0.4269602784693909,9.70187553413813,2.565525168754271e-16,10.0
698,1.9579961232121552,0.42695600886660723,9.70177851538279,2.5654995135025836e-16,10.0
699,1.957976543250923,0.42695173930651964,9.701681497597637,2.5654738585074485e-16,10.0
700,1.9579569634854905,0.4269474697891276,9.70158448078266,2.5654482037688633e-16,10.0
701,1.9579373839158556,0.4269432003144308,9.701487464937852,2.5654225492868255e-16,10.0
702,1.9579178045420165,0.4269389308824287,9.701390450063203,2.5653968950613327e-16,10.0
703,1.957898225363971,0.4269346614931209,9.701293436158702,2.565371241092382e-16,10.0
704,1.9578786463817173,0.426930392146507,9.70119642322434,2.565345587379971e-16,10.0
705,1.9578590675952534,0.42692612284258663,9.701099411260108,2.5653199339240973e-16,10.0
706,1.9578394890045774,0.42692185358135926,9.701002400265995,2.565294280724758e-16,10.0
707,1.9578199106096874,0.4269175843628245,9.700905390241992,2.5652686277819507e-16,10.0
708,1.9578003324105813,0.42691331518698195,9.70080838118809,2.565242975095673e-16,10.0
709,1.9577807544072572,0.4269090460538311,9.700711373104278,2.565217322665922e-16,10.0
710,1.9577611765997132,0.42690477696337165,9.700614365990548,2.565191670492695e-16,10.0
711,1.9577415989879472,0.4269005079156031,9.700517359846888,2.56516601857599e-16,10.0
712,1.9577220215719573,0.42689623891052497,9.70042035467329,2.5651403669158044e-16,10.0
713,1.9577024443517417,0.42689196994813694,9.700323350469743,2.565114715512135e-16,10.0
714,1.9576828673272981,0.4268877010284385,9.700226347236239,2.56508906436498e-16,10.0
715,1.9576632904986249,0.42688343215142927,9.700129344972765,2.5650634134743366e-16,10.0
716,1.95764371386572,0.4268791633171088,9.700032343679316,2.565037762840202e-16,10.0
717,1.9576241374285812,0.42687489452547667,9.699935343355879,2.5650121124625735e-16,10.0
718,1.9576045611872068,0.42687062577653245,9.699838344002446,2.564986462341449e-16,10.0
719,1.957584985141595,0.42686635707027576,9.699741345619005,2.5649608124768257e-16,10.0
720,1.9575654092917436,0.4268620884067061,9.699644348205549,2.564935162868701e-16,10.0
721,1.9575458336376508,0.42685781978582304,9.699547351762067,2.564909513517072e-16,10.0
722,1.9575262581793145,0.42685355120762625,9.69945035628855,2.5648838644219373e-16,10.0
723,1.9575066829167327,0.4268492826721152,9.699353361784986,2.564858215583293e-16,10.0
