,Agent_0,Agent_0_abs_W_max,Agent_1,Agent_1_abs_W_max
49,-3690.83631903841,52.688358858188245,-3451.76298239682,52.354802219936595
50,-3686.96844548073,52.688358858188245,-3699.740722708453,52.354802219936595
51,-3792.4851148999182,52.688358858188245,-3767.3923428771877,52.354802219936595
52,-3745.887580957349,52.688358858188245,-3620.5948371463965,52.354802219936595
53,-3688.6928579911782,52.9315746329118,-3703.841372842664,52.00893632787237
54,-3856.900395162529,52.9315746329118,-3837.666841451968,52.00893632787237
55,-3781.236974643424,52.9315746329118,-3812.6627172176813,52.00893632787237
56,-3676.628348862665,53.638401792569525,-3697.519437971575,52.99743377916863
57,-3002.540434990603,56.2575524482743,-3020.117102774619,52.80135636199972
58,-3069.763146334719,56.53839671151367,-2853.5918866052816,54.450055376430285
59,-645.0273739320126,56.53839671151367,-587.3549794713794,54.450055376430285
60,-2380.28179964145,56.53839671151367,-2368.430305666383,54.450055376430285
61,-3714.8634516728753,56.53839671151367,-3686.1505803857463,54.450055376430285
62,-1313.7529707228439,57.660664882101926,-1533.021193609337,54.21636193483248
63,-3694.478303177739,57.660664882101926,-3661.9238477321937,54.27382224461826
64,-2406.3942472389676,57.998623369285845,-3130.893872629782,54.917075505681716
65,-2147.132242954649,57.998623369285845,-3573.8859823783196,54.917075505681716
66,-3671.234899036629,57.998623369285845,-3755.8282557566718,54.917075505681716
67,-2766.1273898144573,59.490694016343284,-2944.174800471249,56.94233597128531
68,-3699.740882045906,59.490694016343284,-3688.9049522768846,56.94233597128531
69,-3835.2515960897936,59.490694016343284,-3790.8331149737096,56.94233597128531
70,-3795.9437159395275,59.490694016343284,-3732.557577325666,56.94233597128531
71,-2332.461536770482,60.46868524252511,-3133.623928078153,58.45822395023306
72,-386.827437661216,60.46868524252511,-2248.734730449129,58.45822395023306
73,-1668.5626380217911,60.043866941666934,-3454.818399909028,58.68855032499057
74,-1340.2808667069648,60.043866941666934,-2060.379635259295,58.68855032499057
75,-1556.0296464421208,59.83779940257734,-2215.292956306147,59.46639920157605
76,-1303.6475904987558,59.83779940257734,-2415.3532559783184,59.46639920157605
77,-1479.1530905351974,59.83779940257734,-1747.5488066665785,59.46639920157605
78,-2724.356137297595,58.61046081254417,-3331.985143077435,59.26025591371006
79,-3425.8943693795836,58.61046081254417,-3664.965742610818,59.26025591371006
80,-2718.2889185598697,58.61046081254417,-3429.573680699157,59.26025591371006
81,-372.0509152943491,58.61046081254417,-561.5587237545545,59.26025591371006
82,-1331.633519180228,58.61046081254417,-1727.7952146526204,59.26025591371006
83,-655.8186009444288,58.61046081254417,-638.72059207297,59.26025591371006
84,-1373.8397901567494,58.61046081254417,-1309.7579007269837,59.26025591371006
85,-2625.701634626297,58.417868117410684,-2697.5691962194533,58.176798880202966
86,-3650.720202903347,58.417868117410684,-3601.973723851216,58.176798880202966
87,-3505.5249805807043,58.417868117410684,-3687.174086931741,58.176798880202966
88,-2343.3554958687514,57.77263645724594,-2045.8477802791485,60.48170483379153
89,-2730.5549187993297,57.88687448567384,-2876.4201520601846,59.248244112019414
90,-2815.593095855381,57.88687448567384,-2662.63754068674,59.248244112019414
91,-3484.6483059140355,57.88687448567384,-3578.023345681233,59.248244112019414
92,-773.9250521625343,57.88687448567384,-1228.5182557506005,59.248244112019414
93,-562.586204673578,57.18140859459336,-1321.784827965384,58.62649817097425
94,-592.0376636870822,57.18140859459336,-995.9828107544712,58.62649817097425
95,-2258.790494262219,57.18140859459336,-2425.894434535915,58.62649817097425
96,-2376.9869369186526,57.18140859459336,-2382.307275167873,58.62649817097425
97,-2242.5053327979776,57.18140859459336,-2232.859997157546,58.62649817097425
98,-2053.3923033628985,57.51462493331466,-1495.2664329463687,58.92176454383368
99,-3056.980248360195,57.36136372009986,-2799.405479477759,59.10290748332047
100,-435.794560637554,57.36136372009986,-516.3722320089744,59.10290748332047
101,-2852.8004077959927,56.018032414484026,-3084.4839810054314,58.116121546087435
102,-3826.5065757137354,56.018032414484026,-3786.2689519513588,58.116121546087435
103,-3729.9594193142293,56.018032414484026,-3719.226746046902,58.116121546087435
104,-3655.6301949645917,56.189668534166366,-3630.3628682319186,58.03588001655014
105,-3694.0140357024,56.53061475521203,-3471.1197273472458,59.03839978025011
106,-3692.4424805802155,56.84522189915251,-3660.5018865208094,59.90076996221746
107,-3793.473121132928,57.32579318372608,-3756.3444082616406,60.15218380146352
108,-3698.206643354635,57.32579318372608,-3668.9591186021603,60.15218380146352
109,-2427.201704566788,57.32579318372608,-2257.203571551727,60.15218380146352
110,-1160.3224344691969,57.32579318372608,-1166.7208589251504,60.15218380146352
111,-1029.3358376982,57.32579318372608,-1010.8820557412946,60.15218380146352
112,-150.6325097137099,57.32579318372608,-538.3987866406235,60.15218380146352
113,-1093.0432243465903,57.17115690238016,-2014.6680640307475,59.65992171736345
114,-2913.64455235754,57.17115690238016,-3074.6700458639734,59.65992171736345
115,-2142.832511257776,58.46098546788163,-2493.326134860919,59.705622666307235
116,-1473.4472258102885,57.64218913225024,-1251.215251677262,59.181599140940044
117,-1254.550407348815,57.64218913225024,-1445.287159830104,59.181599140940044
118,-3822.2215919308906,57.64218913225024,-3771.8849582675243,59.181599140940044
119,-3689.9811201885536,57.64218913225024,-3701.3632979230397,59.181599140940044
120,-3676.980138418965,58.102819128075055,-3654.3464750526286,59.61708956837787
121,-3621.024182592133,58.357277627034755,-3683.785436427335,59.6453752599069
122,-2011.885858477353,58.357277627034755,-2427.662733744103,59.6453752599069
123,-3645.119080751414,57.82209629165821,-3666.0867844951817,59.12798231175888
124,-1985.1992394744946,57.82209629165821,-1846.2280855505242,59.12798231175888
125,-2062.446314862329,57.58642283039336,-727.4749631553865,56.750654366176015
126,-2884.714560101705,57.790538027079684,-2947.744053587726,56.580695615702126
127,-3779.331741683481,57.196356904293566,-3759.5297614854617,56.40094163195676
128,-3527.6495134993856,57.85941366143962,-3400.3594949873936,57.11337739916449
129,-3824.731565641827,57.85941366143962,-3802.6127537606385,57.51526192946699
130,-3126.2486290678444,57.85941366143962,-2592.523749987082,57.51526192946699
131,-2547.93465150915,58.02038434074607,-1797.4756854589614,57.234623531088296
132,-2172.560420880154,59.328730159744694,-2546.746316209212,58.06126882621901
133,-3209.280825250786,59.328730159744694,-3380.8782250236886,58.06126882621901
134,-637.5394828258185,59.328730159744694,-1119.6361510868887,58.06126882621901
135,-587.6407706080329,59.328730159744694,-724.8515385147463,58.06126882621901
136,-234.10579299412487,59.328730159744694,-402.8476109697828,58.06126882621901
137,-746.3239441829128,57.72516370898179,-672.2139760048815,56.7474046815978
138,-947.2695097435228,54.86076093737397,-950.8317732718344,55.37816236458955
139,-1385.898438098772,54.86076093737397,-1652.4734057045212,55.37816236458955
140,-403.32300244450937,54.86076093737397,-671.7510426939776,55.37816236458955
141,-774.0777359599248,54.86076093737397,-965.5959894765223,55.37816236458955
142,-1783.661004053554,52.16409645028045,-1734.8318749086102,54.048659181675724
143,-2261.288425053731,52.16409645028045,-2234.6197897246925,54.048659181675724
144,-2856.078115299939,52.16409645028045,-3136.32005526639,54.048659181675724
145,-3467.7140775123817,52.69002713752462,-3141.90306533838,55.374213567199696
146,-3693.8845688719484,52.69002713752462,-3670.3013830842733,55.374213567199696
147,-3117.592954688876,52.69002713752462,-2926.8242360558943,55.374213567199696
148,-3657.609404125995,52.68869762241616,-3652.98223705005,54.74248583989633
149,-3765.8565345157513,52.68869762241616,-3729.6189107533755,55.19716555276215
150,-2644.3437015563227,54.00912838523356,-2437.630964486877,55.62176777443286
151,-2833.501315084705,54.263268629884394,-2991.314738951434,56.790730577905784
152,-1815.3827991447793,54.263268629884394,-1974.0927796402975,56.790730577905784
153,-593.965366020066,53.192360189775826,-612.1791096756161,55.63110007208078
154,-883.1857637702067,52.240054221172805,-1101.5272376892183,54.173633795014915
155,-399.4532907779066,52.240054221172805,-300.3128006374498,54.173633795014915
156,-639.1957594942664,51.89074413574436,-639.6672533733183,53.55095172810727
157,-766.4179695306677,51.518780964591784,-738.5774944881775,53.08618595748016
158,-399.2073503712235,51.518780964591784,-449.6975280815076,53.08618595748016
159,-267.6312901690362,51.518780964591784,-388.60230017797755,53.08618595748016
160,-180.38050464806938,51.518780964591784,-248.62035481173217,53.08618595748016
161,-2429.002758146027,50.69244942973727,-2327.089137400925,51.88477210870119
162,-1938.5879183828572,50.69244942973727,-1858.7004256743662,51.88477210870119
163,-333.3317822593297,50.733802479375726,-285.35500944212157,50.55738656652485
164,-408.9414014968929,50.733802479375726,-410.4021505494455,50.55738656652485
165,-3785.0686227447613,50.733802479375726,-3722.6849835858065,50.55738656652485
166,-2779.5255709381936,50.733802479375726,-3086.8800082469343,50.55738656652485
167,-2290.8899241636655,50.31201739617056,-2786.1729894749124,49.46766898454379
168,-1797.7366981784146,50.22552420822727,-2630.148500133826,49.743029400320545
169,-852.4504589414177,50.22552420822727,-836.524210254595,49.743029400320545
170,-1066.3664172615531,50.384317329483295,-1782.7915475134316,49.55817030431366
171,-262.6447590931383,50.384317329483295,-393.6365459079134,49.55817030431366
172,-502.3987202654188,50.384317329483295,-567.2911391475076,49.55817030431366
173,-2043.903436883447,49.7398561658874,-3066.695543867548,49.247722834052915
174,-589.9126617736839,48.57779920634318,-1057.8836590782394,49.20258259263273
175,-1494.6405131540632,48.57779920634318,-2682.0100267528987,49.20258259263273
176,-1842.5608254237695,48.57779920634318,-2028.2525117187092,49.20258259263273
177,-3687.48063701086,48.26211766275523,-3660.4113300801673,48.28893495908607
178,-3754.648060451277,48.22531847022367,-3708.549050550287,48.05744106162254
179,-2251.4064001642473,49.54418722698245,-2943.106487676746,49.58498508348174
