,agent1
537,1.2332003
538,1.2167542
539,1.2429366
540,1.2312099
541,1.2351959
542,1.2205905
543,1.227311
544,1.2295388
545,1.2304398
546,1.224654
547,1.2292355
548,1.2243726
549,1.2715799
550,1.2221593
551,1.2432245
552,1.2286321
553,1.2421297
554,1.2314898
555,1.2166746
556,1.2104341
557,1.2405778
558,1.2390623
559,1.2222447
560,1.256088
561,1.2414131
562,1.2487195
563,1.2283556
564,1.2324371
565,1.2483879
566,1.2319217
567,1.240869
568,1.249057
569,1.2259158
570,1.20955
571,1.2427282
572,1.2449081
573,1.205561
574,1.2385298
575,1.2254596
576,1.2514056
577,1.2570783
578,1.2344288
579,1.2320645
580,1.238323
581,1.2401453
582,1.2188452
583,1.2340834
584,1.2370908
585,1.2494575
586,1.2286192
587,1.2240585
588,1.2340872
589,1.2308481
590,1.2157754
591,1.2322282
592,1.2187136
593,1.231883
594,1.2542937
595,1.2349223
596,1.2458929
597,1.23121
598,1.2274089
599,1.2511955
600,1.2225764
601,1.2333751
602,1.2345624
603,1.2460573
604,1.2460113
605,1.2376739
606,1.2237357
607,1.2316608
608,1.2376362
609,1.2343484
610,1.2161156
611,1.248394
612,1.2219471
613,1.2495039
614,1.230265
615,1.2346787
616,1.2296672
617,1.2233976
618,1.2283309
619,1.2384542
620,1.2384682
621,1.2252808
622,1.2442952
623,1.2241292
624,1.2227336
625,1.2271378
626,1.2430924
627,1.2280602
628,1.2294352
629,1.2460408
630,1.234345
631,1.2499483
632,1.2319793
633,1.2327754
634,1.2313646
635,1.2368788
636,1.2392952
637,1.2425396
638,1.2351114
639,1.221291
640,1.2261882
641,1.223868
642,1.2295732
643,1.2251607
644,1.2218492
645,1.2281185
646,1.2407742
647,1.238478
648,1.2320077
649,1.2344187
650,1.2371755
651,1.2198179
652,1.233805
653,1.2276134
654,1.2486641
655,1.2256879
656,1.2262274
657,1.2330192
658,1.2404704
659,1.2397904
660,1.2322667
661,1.2407447
662,1.226473
663,1.2195064
664,1.2401648
665,1.2371968
666,1.2497109
667,1.2376894
668,1.2353388
669,1.2409935
670,1.2445208
671,1.2264113
672,1.2327423
673,1.2390414
674,1.2317015
675,1.2358673
676,1.2416773
677,1.2231725
678,1.2376908
679,1.2232164
680,1.2284825
681,1.2271982
682,1.2302415
683,1.2183679
684,1.2167581
685,1.2327087
686,1.2480718
687,1.2371783
688,1.2460176
689,1.2334799
690,1.24242
691,1.2131289
692,1.224657
693,1.2500871
694,1.2152547
695,1.2138423
696,1.2277162
697,1.2254757
698,1.243258
699,1.2369643
700,1.2299919
701,1.2296542
702,1.2531916
703,1.2472641
704,1.2435483
705,1.2553061
706,1.2273675
707,1.2443792
708,1.2316465
709,1.2294043
710,1.2409583
711,1.2170981
712,1.2319971
713,1.2161344
714,1.2340847
715,1.2433306
716,1.2326373
717,1.2311757
718,1.234506
